DNI,Grado_dis
45297754X,0
14230099L,0
87662166F,0
92240415Y,1
72642121K,0
82114899M,0
87623333U,0
48975629E,0
59691265S,0
19782712Q,0
32047243R,1
53111611F,0
28928016C,0
99468001I,0
84323291Q,1
15982681I,0
90173309W,1
61088557R,0
30407583W,2
91311798B,0
56105439M,0
27185972M,0
25486713Z,1
32109254S,0
20318637E,0
53612900M,0
10884276F,0
20623447F,0
11681550K,0
29794431N,0
67552303M,0
74908151X,0
46506313S,0
55394671M,0
58752272C,0
65748413W,2
98719197K,0
21688504X,0
46109760L,0
67862254R,0
93446999Z,0
11038878X,1
14899109S,0
25618506X,0
14070063V,0
46225344N,0
50966965R,0
14123065A,0
90908427L,0
25379636O,0
20226811L,0
27134259R,2
80122345L,1
75755173J,0
78115294M,2
53472535A,0
33546469M,0
70727932F,2
16360662L,1
47485131F,0
72781060Z,0
96018674H,0
99271849F,0
66374527P,0
16646488W,1
25819073X,0
74814687X,0
31402260Q,0
98838690L,0
62113355J,1
87550810M,0
97096481L,2
54113405H,2
68535472V,0
38717096J,0
45108166E,1
39135211K,0
22818989D,0
81355970K,0
25408377Y,0
12885321A,0
71989084U,0
33840452U,0
67243696Y,0
40372916I,0
57050637Z,0
32735719U,0
84286259N,0
90140690K,1
34170576V,0
91349536J,0
94805504V,1
45959034T,0
67379119U,0
57941659V,1
21962952V,0
37977417B,2
17649847Q,0
39960413A,1
50242681P,0
27765134A,2
41902801P,0
30311432K,0
89527599F,1
49968786G,0
53720122L,2
85598999V,0
30011663R,0
47751422P,0
32614688A,0
56888464M,0
29932947W,1
57805723Z,0
45380357D,1
99300015W,0
95354804O,0
51501189M,0
89978555Q,0
40172047N,0
33708835B,0
28127898O,0
57459849M,0
46781379T,0
62387272I,0
94937228L,1
74387541U,0
63785840T,1
46579090U,0
26762109F,0
60599260X,0
56938378G,0
49087027U,0
37558311L,0
61059381T,2
87846822E,0
84291999X,0
81782896R,0
86456584C,0
23149039P,1
77816079P,0
32580074B,0
73418964K,0
69877256T,0
96632274G,0
12901133B,0
45764571R,0
30084600N,1
85498191E,0
50870075B,0
62766141F,0
28480030R,2
72553653O,0
36194500Y,1
93905622G,0
12780966D,2
50596621H,0
46787017N,0
72399352H,0
54077026E,0
49822966V,0
59514058W,2
56056923D,0
35233456P,1
58103459J,0
32881859Z,0
96314670J,0
56426120K,0
59987154U,2
90300089N,0
83593501U,0
50748041D,0
85284668N,0
20257453G,0
14916785V,0
17071826I,0
73789620O,0
40179071X,0
72447203C,0
48098561N,0
65567157M,0
24221433L,0
47164641A,0
16847139B,1
65203616F,0
12183456T,0
85625121V,0
79648583V,0
68169953N,1
29460746I,2
65113052D,0
60213931K,0
58418824R,0
99969042W,0
88354291U,1
32691114U,0
96821278Z,2
80296015O,1
12048849J,1
61881795K,0
10764659J,2
13317811S,0
29219027K,0
67071313Y,0
21599438V,0
77401164T,2
11097904P,1
63869538V,0
68841386Q,2
36099149B,0
68625346F,1
97198204T,0
43503170C,0
31277709S,0
94156897J,2
48535117C,0
27828639V,0
49807769L,0
62068988J,0
30520450B,0
41461904M,0
97016472Y,1
65152324V,2
85724993W,0
27402095O,0
24003616H,0
17819631Y,1
91917626T,0
45411931I,0
21819103H,0
72233981C,0
76568971J,0
50547112Y,0
51396941Q,0
71661796I,0
89689185D,0
15244727G,0
33919118D,0
29631947Q,0
25245451O,1
83719287L,0
13551478Z,0
59953009B,0
78339378X,0
75012930L,0
79777568Q,0
45174186V,0
64499056M,1
75292506X,0
38068712R,0
91512449L,0
43817484D,0
97182986Q,0
58819831R,0
59555622G,2
14362362Y,0
69158358D,0
87184421Q,0
47448182Y,0
74190696R,0
44824622H,0
40693390H,1
61961570X,2
98077806A,0
13071145C,1
83010362E,0
45850466D,0
54077692G,0
97361669H,0
47849494Y,0
59622314M,1
60032955K,0
87657356L,0
19673439V,0
78931023P,1
84132578X,0
30251770D,1
70587024G,0
44809492J,1
73268611C,0
76571828V,0
79109701R,1
29501121Q,0
44743938N,0
99710252D,0
98269283Q,0
85218917T,0
68628685B,0
17282645P,0
94922461K,0
62383075E,0
28622542G,0
76439048Z,0
91220016U,0
56557237V,1
52120076R,2
97624670V,0
59939613U,0
26895463T,0
19048206G,0
82910356O,0
78678208N,0
45766619K,0
44546305F,0
30559096Q,0
95327245U,1
46502217A,0
46116510Y,0
46636412M,0
37158593R,0
73923031K,0
21454451H,0
31073101H,0
83831421P,0
32903201Y,1
63044450W,0
56664246L,0
36991288D,0
87734378V,0
43688958E,0
43660887L,0
63221344U,0
14779973T,0
46655556A,0
80150927M,0
89414438O,0
48436764E,0
99437381T,1
37706305V,0
24472672N,0
87893348K,0
71583993Y,0
70053582G,0
78382509Q,0
74527120N,0
96731473K,0
61191082M,0
13263880E,0
39242792E,0
90904801O,0
87640372P,0
87187883X,0
79424168I,0
46405744P,2
47887640K,1
71075700Q,1
37752163D,0
28808707P,0
21014412T,0
54286797U,0
83953892B,0
71546800W,1
54341400N,0
18025276P,0
46630716Q,0
60256392U,0
73048819Y,0
87263367C,0
97737080D,0
67535468J,0
51110766S,1
31941772L,0
65157281I,2
40285204D,0
39774936I,0
83281583V,0
43195125U,0
25845437R,0
71003383Z,0
81115177G,0
78414796T,0
39920835I,0
93213815O,0
50428108R,2
20421655I,0
12541588E,0
32958364U,0
27912462L,0
78175576S,0
49658858J,0
67774146F,0
84294532S,0
98067473D,0
25083996P,0
11550087R,1
52024887U,0
42214732X,0
41838534I,0
38796006F,0
26315862G,0
67209887H,0
31769237M,0
17739342R,1
17227603F,2
72139800B,0
81011882S,0
28327211H,0
87144629G,2
69943975J,0
73489876T,0
46191455S,0
13379249D,1
66687473X,0
14667243B,0
21336076E,1
42827181Z,0
83647128Z,0
43221718B,0
33546098H,0
33459191O,0
34269285N,0
45984168W,0
92673714Y,1
69691910L,0
30873228Z,0
11318180O,1
26589006P,0
31875076K,0
20542008L,1
74637780X,0
78789330Y,2
91008832B,0
51974081X,0
33517171T,0
97084574I,0
88594157C,0
72442659Z,0
81783148N,0
58461386J,2
35047717O,0
19498900L,0
50000921O,1
33029161V,0
74015360Q,0
78942281I,0
16443694C,0
53672217K,0
26152001H,1
28675639D,2
62717345A,0
22678104Y,0
82525957A,0
51591062L,0
68606427M,0
58343479J,0
30693078W,0
39954051E,1
12122496Q,0
76128251J,0
18986558C,0
18973027E,0
43933375R,0
85250963W,0
89243902I,0
93179419O,0
72220085O,0
