DNI,Nombre,Apellido,Fecha de Nacimiento,ID Solicitud,Usuario_solicitante,Edad
45297754X,Sydney,Dinsey,1949-11-25,2606361,True,73
14230099L,Patten,Garratty,1956-09-13,6972240,True,67
87662166F,Brandy,Ladell,1949-04-03,2606361,False,74
92240415Y,Eolande,Laxe,1953-06-06,6972240,False,70
72642121K,Corbett,Gilchrest,1944-11-21,4674700,False,79
82114899M,Murdoch,Petrushkevich,1950-01-25,4674700,True,73
87623333U,Selle,Valentine,1954-01-05,8889027,False,69
48975629E,Shea,Berrey,1940-02-09,8889027,True,83
59691265S,Cleavland,Condict,1959-10-18,8813191,True,64
19782712Q,Haley,Feckey,1933-05-22,8813191,False,90
32047243R,Fernando,Cowpertwait,1938-07-04,4993782,False,85
53111611F,Consalve,Tuttle,1930-01-04,4993782,True,93
28928016C,Marieann,Cottisford,1944-04-29,5138090,False,79
99468001I,Ody,Skeath,1961-10-11,8389380,False,62
84323291Q,Noble,Weinmann,1939-04-06,5138090,True,84
15982681I,Carmella,Saiger,1954-09-27,8389380,True,69
90173309W,Larisa,Blind,1936-03-12,9863113,True,87
61088557R,Stacie,Stuck,1946-05-29,9863113,False,77
30407583W,Berenice,Pennyman,1935-04-17,9251596,False,88
91311798B,Germaine,Yglesias,1937-12-30,9251596,True,85
56105439M,Renell,Bateup,1942-05-19,9461612,True,81
27185972M,Cherish,Leipnik,1959-11-17,7395549,True,64
25486713Z,Candida,Lingwood,1950-04-21,9461612,False,73
32109254S,Kaela,Matuszewski,1938-07-14,7395549,False,85
20318637E,Renato,Bleckly,1941-12-18,3728771,False,81
53612900M,Gregoor,Hakonsen,1962-06-20,3728771,True,61
10884276F,Gare,Drewry,1951-04-21,2091040,True,72
20623447F,Alwin,Gouldsmith,1950-09-18,9789204,True,73
11681550K,Putnem,Levee,1935-11-29,7005831,True,87
29794431N,Sybilla,Bennington,1956-06-12,2091040,False,67
67552303M,Rianon,Pierpoint,1934-10-05,9789204,False,89
74908151X,Barry,Buckel,1934-11-11,4567720,True,89
46506313S,Scarlett,Blenkinsopp,1950-11-17,4858746,True,73
55394671M,Willdon,McNelis,1943-09-04,7005831,False,80
58752272C,Jamal,Geall,1948-07-11,5622055,True,75
65748413W,Reinwald,Laye,1931-07-21,4954716,True,92
98719197K,Reg,Werrit,1965-07-20,9764554,True,58
21688504X,Culver,Quirke,1949-10-14,2917315,True,74
46109760L,Pam,Shopcott,1938-06-05,4567720,False,85
67862254R,Jerrome,Howel,1960-05-03,4858746,False,63
93446999Z,Vanya,Randerson,1960-11-18,5622055,False,63
11038878X,Archibald,MacDowal,1948-03-17,4954716,False,75
14899109S,Jemie,Plan,1951-06-12,9764554,False,72
25618506X,Louis,Kendle,1956-03-05,2917315,False,67
14070063V,Kay,Hansana,1964-01-23,2477837,False,59
46225344N,Inez,Stockwell,1960-12-21,6624973,False,62
50966965R,Hubey,Buterton,1948-08-28,2477837,True,75
14123065A,Coraline,Ravens,1954-07-15,6624973,True,69
90908427L,Eddi,Bissatt,1951-04-06,2710780,True,72
25379636O,Stern,Cecere,1935-02-09,2710780,False,88
20226811L,Hope,Bilbrooke,1930-12-01,7659004,True,92
27134259R,Pauli,Cottisford,1940-04-10,1308234,True,83
80122345L,Krishnah,Toynbee,1951-08-19,7659004,False,72
75755173J,Rip,Reschke,1932-04-16,1308234,False,91
78115294M,Timmy,Goodlip,1960-12-08,7960143,False,62
53472535A,Heidie,Gianilli,1935-09-05,7960143,True,88
33546469M,Ivar,Enden,1963-08-02,3186248,True,60
70727932F,Tiebold,Goodband,1961-08-21,7522553,True,62
16360662L,Nady,Karet,1943-06-10,9554001,True,80
47485131F,Loydie,Popeley,1954-03-02,3186248,False,69
72781060Z,Warde,Mossbee,1953-02-11,7522553,False,70
96018674H,Bone,Dumsday,1945-10-12,3523119,True,78
99271849F,Kimberley,O'dell,1937-05-11,3617881,True,86
66374527P,Virginia,Ruslin,1939-08-16,9446789,True,84
16646488W,Lura,Rides,1948-11-06,9554001,False,75
25819073X,Arvy,Mardell,1955-09-20,9193330,True,68
74814687X,Celka,Spitaro,1965-02-24,5540255,True,58
31402260Q,Earvin,Venneur,1948-06-09,7010271,True,75
98838690L,Malissa,Goslin,1950-01-12,7198998,True,73
62113355J,Joachim,Zanutti,1960-07-15,4213035,True,63
87550810M,Giselbert,Nuccitelli,1945-04-27,3523119,False,78
97096481L,Lemmie,Jelf,1941-12-04,5241760,True,81
54113405H,Karole,Vaune,1932-12-08,6108952,True,90
68535472V,Nickola,Chappell,1933-09-05,7007981,True,90
38717096J,Lesley,Ewbank,1963-03-27,5572692,True,60
45108166E,Mireille,Bingham,1943-01-20,1454750,True,80
39135211K,Ashia,Coulston,1931-04-27,5323780,True,92
22818989D,Andreas,Burles,1934-12-22,3617881,False,88
81355970K,Franky,Allcock,1962-02-28,4981275,True,61
25408377Y,Vilhelmina,Wooffitt,1955-06-15,9446789,False,68
12885321A,Ashla,Brunelli,1954-07-02,4792102,True,69
71989084U,Dyna,Busby,1956-07-24,2504905,True,67
33840452U,Carmita,Galland,1933-12-31,3864319,True,89
